word,mfa_start_time,mfa_end_time,gentle_start_time,gentle_end_time
exploration,88.92,89.69,,
He,90.33,90.45,,
used,90.45,90.65,,
to,90.65,90.68,,
make,90.68,90.83,,
all,90.83,90.92,,
kinds,90.92,91.32,,
of,91.32,91.41,,
a,91.41,91.44,,
row,91.44,91.68,,
because,91.68,92.0,,
there,92.0,92.09,,
was,92.09,92.25,,
nothing,92.25,92.55,,
left,92.55,92.79,,
to,92.79,92.84,,
explore,92.84,93.23,,
now,93.23,93.59,,
only,93.93,94.17,,
patchwork,94.17,94.74,,
and,94.74,94.83,,
filling,94.83,95.17,,
in,95.17,95.33,,
he,95.33,95.5,,
said,95.5,95.94,,
He,96.51,96.74,,
filled,96.74,97.09,,
in,97.09,97.29,,
well,97.29,97.48,,
enough,97.48,97.92,,
he,98.62,98.72,,
had,98.72,98.88,,
a,98.88,98.92,,
lot,98.92,99.18,,
of,99.18,99.27,,
talents,99.27,99.81,,
great,100.1,100.53,,
on,100.53,100.69,,
mechanics,100.69,101.25,,
and,101.25,101.32,,
electricity,101.32,102.05,,
Had,102.56,102.68,,
all,102.68,102.81,,
kinds,102.81,103.17,,
of,103.17,103.23,,
boats,103.23,103.63,,
and,103.63,103.76,,
motorcars,103.76,104.34,,
and,104.34,104.46,,
was,104.46,104.6,,
one,104.6,104.75,,
of,104.75,104.81,,
the,104.81,104.87,,
best,104.87,105.11,,
of,105.11,105.18,,
our,105.18,105.36,,
airmen,105.36,105.86,,
We,106.83,107.1,,
never,107.33,107.83,,
could,107.94,108.04,,
have,108.04,108.1,,
done,108.1,108.31,,
the,108.31,108.38,,
thing,108.38,108.61,,
at,108.61,108.68,,
all,108.68,109.11,,
without,109.2,109.59,,
Terry,109.59,110.07,,
Jeff,112.46,112.68,,
Margrave,112.68,113.18,,
was,113.18,113.3,,
born,113.3,113.55,,
to,113.58,113.63,,
be,113.63,113.78,,
a,113.78,113.82,,
poet,113.82,114.29,,
a,114.81,114.88,,
botanist,114.88,115.58,,
or,115.58,115.71,,
both,115.71,116.12,,
but,116.12,116.3,,
his,116.3,116.5,,
